word,kana,desc,tags
固有,こゆう,"characteristic, tradition, peculiar",JLPT_1
暦,こよみ,"calendar, almanac",JLPT_1
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT_1
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT_1
孤立,こりつ,"isolation, helplessness",JLPT_1
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT_1
凝る,こる,"to stiffen, to harden",JLPT_1
根気,こんき,"patience; perseverance, energy",JLPT_1
根拠,こんきょ,"basis, foundation",JLPT_1
混血,こんけつ,"mixed race, mixed parentage",JLPT_1
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT_1
昆虫,こんちゅう,"insect, bug",JLPT_1
根底,こんてい,"root, basis, foundation",JLPT_1
混同,こんどう,"confusion, mixing, merger",JLPT_1
コントラスト,コントラスト,contrast,JLPT_1
コントロール,コントロール,control,JLPT_1
コンパス,コンパス,compass,JLPT_1
根本,こんぽん,"foundation, root, base",JLPT_1
財,ざい,"fortune, riches",JLPT_1
再会,さいかい,"meeting again, reunion",JLPT_1
災害,さいがい,"calamity, disaster, misfortune",JLPT_1
細菌,さいきん,"bacillus, bacterium, germ",JLPT_1
細工,さいく,"work, craftsmanship, trick",JLPT_1
採掘,さいくつ,mining,JLPT_1
サイクル,サイクル,cycle,JLPT_1
採決,さいけつ,"vote, roll call",JLPT_1
再建,さいけん,(temple or shrine) rebuilding,JLPT_1
再現,さいげん,"reproduction, return, revival",JLPT_1
財源,ざいげん,"source of funds, resources, finances",JLPT_1
在庫,ざいこ,"stockpile, stock",JLPT_1
採算,さいさん,profit,JLPT_1
サイズ,サイズ,size,JLPT_1
再生,さいせい,"playback, regeneration, resuscitation",JLPT_1
財政,ざいせい,"economy, financial affairs",JLPT_1
最善,さいぜん,the very best,JLPT_1
採択,さいたく,"adoption, selection, choice",JLPT_1
栽培,さいばい,cultivation,JLPT_1
再発,さいはつ,"return, relapse, reoccurrence",JLPT_1
細胞,さいぼう,cell,JLPT_1
