一段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
引き受ける,ひきうける,"to undertake, to take charge",-,引き受けない,引き受けます,引き受ける,引き受ければ,引き受けよう,引き受けて,引き受けた,引き受けなかった,引き受けなれる,引き受けさせる,引き受けられる,引き受けろ
広げる,ひろげる,"to spread, to extend",-,広げない,広げます,広げる,広げれば,広げよう,広げて,広げた,広げなかった,広げなれる,広げさせる,広げられる,広げろ
吠える,ほえる,"to bark, to howl",-,吠えない,吠えます,吠える,吠えれば,吠えよう,吠えて,吠えた,吠えなかった,吠えなれる,吠えさせる,吠えられる,吠えろ
褒める,ほめる,to praise,-,褒めない,褒めます,褒める,褒めれば,褒めよう,褒めて,褒めた,褒めなかった,褒めなれる,褒めさせる,褒められる,褒めろ
虐める,いじめる,"to tease, to bully",-,虐めない,虐めます,虐める,虐めれば,虐めよう,虐めて,虐めた,虐めなかった,虐めなれる,虐めさせる,虐められる,虐めろ
生ける,いける,to arrange (flowers),-,生けない,生けます,生ける,生ければ,生けよう,生けて,生けた,生けなかった,生けなれる,生けさせる,生けられる,生けろ
生きる,いきる,to live,-,生きない,生きます,生きる,生きれば,生きよう,生きて,生きた,生きなかった,生きなれる,生きさせる,生きられる,生きろ
入れる,いれる,"to put in, to include",-,入れない,入れます,入れる,入れれば,入れよう,入れて,入れた,入れなかった,入れなれる,入れさせる,入れられる,入れろ
いる,いる,"to be, to stay",-,いない,います,いる,いれば,いよう,いて,いた,いなかった,いなれる,いさせる,いられる,いろ
変える,かえる,to change,-,変えない,変えます,変える,変えれば,変えよう,変えて,変えた,変えなかった,変えなれる,変えさせる,変えられる,変えろ
代える,かえる,"to substitute, to replace",-,代えない,代えます,代える,代えれば,代えよう,代えて,代えた,代えなかった,代えなれる,代えさせる,代えられる,代えろ
抱える,かかえる,to hold,-,抱えない,抱えます,抱える,抱えれば,抱えよう,抱えて,抱えた,抱えなかった,抱えなれる,抱えさせる,抱えられる,抱えろ
隠れる,かくれる,to hide,-,隠れない,隠れます,隠れる,隠れれば,隠れよう,隠れて,隠れた,隠れなかった,隠れなれる,隠れさせる,隠れられる,隠れろ
考える,かんがえる,"to think, to consider",-,考えない,考えます,考える,考えれば,考えよう,考えて,考えた,考えなかった,考えなれる,考えさせる,考えられる,考えろ
感じる,かんじる,to feel,-,感じない,感じます,感じる,感じれば,感じよう,感じて,感じた,感じなかった,感じなれる,感じさせる,感じられる,感じろ
枯れる,かれる,to wither,-,枯れない,枯れます,枯れる,枯れれば,枯れよう,枯れて,枯れた,枯れなかった,枯れなれる,枯れさせる,枯れられる,枯れろ
借りる,かりる,"to borrow, to rent",-,借りない,借ります,借りる,借りれば,借りよう,借りて,借りた,借りなかった,借りなれる,借りさせる,借りられる,借りろ
重ねる,かさねる,to pile up,-,重ねない,重ねます,重ねる,重ねれば,重ねよう,重ねて,重ねた,重ねなかった,重ねなれる,重ねさせる,重ねられる,重ねろ
片付ける,かたずける,"to put in order, to tidy up",-,片付けない,片付けます,片付ける,片付ければ,片付けよう,片付けて,片付けた,片付けなかった,片付けなれる,片付けさせる,片付けられる,片付けろ
数える,かぞえる,to count,-,数えない,数えます,数える,数えれば,数えよう,数えて,数えた,数えなかった,数えなれる,数えさせる,数えられる,数えろ
消える,きえる,"to go out, to disappear",-,消えない,消えます,消える,消えれば,消えよう,消えて,消えた,消えなかった,消えなれる,消えさせる,消えられる,消えろ
聞こえる,きこえる,"to can hear, to audible",-,聞こえない,聞こえます,聞こえる,聞こえれば,聞こえよう,聞こえて,聞こえた,聞こえなかった,聞こえなれる,聞こえさせる,聞こえられる,聞こえろ
決める,きめる,"to decide, to choice",-,決めない,決めます,決める,決めれば,決めよう,決めて,決めた,決めなかった,決めなれる,決めさせる,決められる,決めろ
切れる,きれる,"to cut off, to expire, to  be sharp",-,切れない,切れます,切れる,切れれば,切れよう,切れて,切れた,切れなかった,切れなれる,切れさせる,切れられる,切れろ
着る,きる,"to wear, to put on",-,着ない,着ます,着る,着れば,着よう,着て,着た,着なかった,着なれる,着させる,着られる,着ろ
越える,こえる,"to cross, to pass",-,越えない,越えます,越える,越えれば,越えよう,越えて,越えた,越えなかった,越えなれる,越えさせる,越えられる,越えろ
肥える,こえる,"to be fertile, to get fat",-,肥えない,肥えます,肥える,肥えれば,肥えよう,肥えて,肥えた,肥えなかった,肥えなれる,肥えさせる,肥えられる,肥えろ
焦げる,こげる,to burn,-,焦げない,焦げます,焦げる,焦げれば,焦げよう,焦げて,焦げた,焦げなかった,焦げなれる,焦げさせる,焦げられる,焦げろ
答える,こたえる,to answer,-,答えない,答えます,答える,答えれば,答えよう,答えて,答えた,答えなかった,答えなれる,答えさせる,答えられる,答えろ
壊れる,こわれる,to break,-,壊れない,壊れます,壊れる,壊れれば,壊れよう,壊れて,壊れた,壊れなかった,壊れなれる,壊れさせる,壊れられる,壊れろ
