一段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
訪ねる,たずねる,to visit,-,訪ねない,訪ねます,訪ねる,訪ねれば,訪ねよう,訪ねて,訪ねた,訪ねなかった,訪ねなれる,訪ねさせる,訪ねられる,訪ねろ
届ける,とどける,to deliver,-,届けない,届けます,届ける,届ければ,届けよう,届けて,届けた,届けなかった,届けなれる,届けさせる,届けられる,届けろ
閉じる,とじる,"to shut, to close",-,閉じない,閉じます,閉じる,閉じれば,閉じよう,閉じて,閉じた,閉じなかった,閉じなれる,閉じさせる,閉じられる,閉じろ
溶ける,とける,"to melt, to dissolve",-,溶けない,溶けます,溶ける,溶ければ,溶けよう,溶けて,溶けた,溶けなかった,溶けなれる,溶けさせる,溶けられる,溶けろ
解ける,とける,"to be solved, to become untied",-,解けない,解けます,解ける,解ければ,解けよう,解けて,解けた,解けなかった,解けなれる,解けさせる,解けられる,解けろ
止める,とめる,"to stop, to turn off",-,止めない,止めます,止める,止めれば,止めよう,止めて,止めた,止めなかった,止めなれる,止めさせる,止められる,止めろ
泊める,とめる,"to lodge, to give lodging",-,泊めない,泊めます,泊める,泊めれば,泊めよう,泊めて,泊めた,泊めなかった,泊めなれる,泊めさせる,泊められる,泊めろ
留める,とめる,"to fasten, to detain",-,留めない,留めます,留める,留めれば,留めよう,留めて,留めた,留めなかった,留めなれる,留めさせる,留められる,留めろ
捕らえる,とらえる,"to catch, to capture",-,捕らえない,捕らえます,捕らえる,捕らえれば,捕らえよう,捕らえて,捕らえた,捕らえなかった,捕らえなれる,捕らえさせる,捕らえられる,捕らえろ
取れる,とれる,"to come off, to be caugh",-,取れない,取れます,取れる,取れれば,取れよう,取れて,取れた,取れなかった,取れなれる,取れさせる,取れられる,取れろ
取り入れる,とりいれる,to adopt,-,取り入れない,取り入れます,取り入れる,取り入れれば,取り入れよう,取り入れて,取り入れた,取り入れなかった,取り入れなれる,取り入れさせる,取り入れられる,取り入れろ
取り替える,とりかえる,"to exchange, to renew",-,取り替えない,取り替えます,取り替える,取り替えれば,取り替えよう,取り替えて,取り替えた,取り替えなかった,取り替えなれる,取り替えさせる,取り替えられる,取り替えろ
整える,ととのえる,"to arrange, to put in order",-,整えない,整えます,整える,整えれば,整えよう,整えて,整えた,整えなかった,整えなれる,整えさせる,整えられる,整えろ
潰れる,つぶれる,to go bankrupt,-,潰れない,潰れます,潰れる,潰れれば,潰れよう,潰れて,潰れた,潰れなかった,潰れなれる,潰れさせる,潰れられる,潰れろ
通じる,つうじる,"to be laid, to be understood",-,通じない,通じます,通じる,通じれば,通じよう,通じて,通じた,通じなかった,通じなれる,通じさせる,通じられる,通じろ
捕まえる,つかまえる,"to catch, to arrest",-,捕まえない,捕まえます,捕まえる,捕まえれば,捕まえよう,捕まえて,捕まえた,捕まえなかった,捕まえなれる,捕まえさせる,捕まえられる,捕まえろ
疲れる,つかれる,to be tired,-,疲れない,疲れます,疲れる,疲れれば,疲れよう,疲れて,疲れた,疲れなかった,疲れなれる,疲れさせる,疲れられる,疲れろ
付ける,つける,"to attach, to install",-,付けない,付けます,付ける,付ければ,付けよう,付けて,付けた,付けなかった,付けなれる,付けさせる,付けられる,付けろ
つける,つける,to turn on,-,つけない,つけます,つける,つければ,つけよう,つけて,つけた,つけなかった,つけなれる,つけさせる,つけられる,つけろ
伝える,つたえる,"to report, to tell",-,伝えない,伝えます,伝える,伝えれば,伝えよう,伝えて,伝えた,伝えなかった,伝えなれる,伝えさせる,伝えられる,伝えろ
勤める,つとめる,"to work for, to be employed",-,勤めない,勤めます,勤める,勤めれば,勤めよう,勤めて,勤めた,勤めなかった,勤めなれる,勤めさせる,勤められる,勤めろ
努める,つとめる,to make efforts,-,努めない,努めます,努める,努めれば,努めよう,努めて,努めた,努めなかった,努めなれる,努めさせる,努められる,努めろ
続ける,つずける,"to continue, to proceed",-,続けない,続けます,続ける,続ければ,続けよう,続けて,続けた,続けなかった,続けなれる,続けさせる,続けられる,続けろ
植える,うえる,to plant,-,植えない,植えます,植える,植えれば,植えよう,植えて,植えた,植えなかった,植えなれる,植えさせる,植えられる,植えろ
浮かべる,うかべる,"to float, to set afloat",-,浮かべない,浮かべます,浮かべる,浮かべれば,浮かべよう,浮かべて,浮かべた,浮かべなかった,浮かべなれる,浮かべさせる,浮かべられる,浮かべろ
受け入れる,うけいれる,to accept,-,受け入れない,受け入れます,受け入れる,受け入れれば,受け入れよう,受け入れて,受け入れた,受け入れなかった,受け入れなれる,受け入れさせる,受け入れられる,受け入れろ
受ける,うける,"to get, to receive",-,受けない,受けます,受ける,受ければ,受けよう,受けて,受けた,受けなかった,受けなれる,受けさせる,受けられる,受けろ
受け付ける,うけつける,to accept,-,受け付けない,受け付けます,受け付ける,受け付ければ,受け付けよう,受け付けて,受け付けた,受け付けなかった,受け付けなれる,受け付けさせる,受け付けられる,受け付けろ
生まれる,うまれる,to be born,-,生まれない,生まれます,生まれる,生まれれば,生まれよう,生まれて,生まれた,生まれなかった,生まれなれる,生まれさせる,生まれられる,生まれろ
売れる,うれる,to sell,-,売れない,売れます,売れる,売れれば,売れよう,売れて,売れた,売れなかった,売れなれる,売れさせる,売れられる,売れろ
売り切れる,うりきれる,to be sold out,-,売り切れない,売り切れます,売り切れる,売り切れれば,売り切れよう,売り切れて,売り切れた,売り切れなかった,売り切れなれる,売り切れさせる,売り切れられる,売り切れろ
訴える,うったえる,"to appeal, to complain",-,訴えない,訴えます,訴える,訴えれば,訴えよう,訴えて,訴えた,訴えなかった,訴えなれる,訴えさせる,訴えられる,訴えろ
分かれる,わかれる,to be devided,-,分かれない,分かれます,分かれる,分かれれば,分かれよう,分かれて,分かれた,分かれなかった,分かれなれる,分かれさせる,分かれられる,分かれろ
別れる,わかれる,"to part from, to separate from",-,別れない,別れます,別れる,別れれば,別れよう,別れて,別れた,別れなかった,別れなれる,別れさせる,別れられる,別れろ
分ける,わける,to divide,-,分けない,分けます,分ける,分ければ,分けよう,分けて,分けた,分けなかった,分けなれる,分けさせる,分けられる,分けろ
割れる,われる,"to break, to split",-,割れない,割れます,割れる,割れれば,割れよう,割れて,割れた,割れなかった,割れなれる,割れさせる,割れられる,割れろ
忘れる,わすれる,"to forget, to leave (a thing) behind",-,忘れない,忘れます,忘れる,忘れれば,忘れよう,忘れて,忘れた,忘れなかった,忘れなれる,忘れさせる,忘れられる,忘れろ
破れる,やぶれる,to tear,-,破れない,破れます,破れる,破れれば,破れよう,破れて,破れた,破れなかった,破れなれる,破れさせる,破れられる,破れろ
敗れる,やぶれる,"to be defeated, to lose (a game)",-,敗れない,敗れます,敗れる,敗れれば,敗れよう,敗れて,敗れた,敗れなかった,敗れなれる,敗れさせる,敗れられる,敗れろ
焼ける,やける,"to be burnt, to lose",-,焼けない,焼けます,焼ける,焼ければ,焼けよう,焼けて,焼けた,焼けなかった,焼けなれる,焼けさせる,焼けられる,焼けろ
やめる,やめる,"to quit, to stop",-,やめない,やめます,やめる,やめれば,やめよう,やめて,やめた,やめなかった,やめなれる,やめさせる,やめられる,やめろ
辞める,やめる,to resign,-,辞めない,辞めます,辞める,辞めれば,辞めよう,辞めて,辞めた,辞めなかった,辞めなれる,辞めさせる,辞められる,辞めろ
痩せる,やせる,"to lose weight, to become thin",-,痩せない,痩せます,痩せる,痩せれば,痩せよう,痩せて,痩せた,痩せなかった,痩せなれる,痩せさせる,痩せられる,痩せろ
汚れる,よごれる,to get dirty,-,汚れない,汚れます,汚れる,汚れれば,汚れよう,汚れて,汚れた,汚れなかった,汚れなれる,汚れさせる,汚れられる,汚れろ
寄せる,よせる,to gather,-,寄せない,寄せます,寄せる,寄せれば,寄せよう,寄せて,寄せた,寄せなかった,寄せなれる,寄せさせる,寄せられる,寄せろ
茹でる,ゆでる,to boil,-,茹でない,茹でます,茹でる,茹でれば,茹でよう,茹でて,茹でた,茹でなかった,茹でなれる,茹でさせる,茹でられる,茹でろ
揺れる,ゆれる,to shake,-,揺れない,揺れます,揺れる,揺れれば,揺れよう,揺れて,揺れた,揺れなかった,揺れなれる,揺れさせる,揺れられる,揺れろ
緩める,ゆるめる,to loosen,-,緩めない,緩めます,緩める,緩めれば,緩めよう,緩めて,緩めた,緩めなかった,緩めなれる,緩めさせる,緩められる,緩めろ
ずれる,ずれる,"to slip, to slide",-,ずれない,ずれます,ずれる,ずれれば,ずれよう,ずれて,ずれた,ずれなかった,ずれなれる,ずれさせる,ずれられる,ずれろ
