不规则动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
注文する,ちゅうもんする,to order (goods),-,注文しない,注文します,注文する,注文すれば,注文しよう,注文して,注文した,注文しなかった,注文される,注文させる,注文できる,注文しろ
中止する,ちゅうしする,to cancel,-,中止しない,中止します,中止する,中止すれば,中止しよう,中止して,中止した,中止しなかった,中止される,中止させる,中止できる,中止しろ
代表する,だいひょうする,to represent,-,代表しない,代表します,代表する,代表すれば,代表しよう,代表して,代表した,代表しなかった,代表される,代表させる,代表できる,代表しろ
妥協する,だきょうする,to compromise,-,妥協しない,妥協します,妥協する,妥協すれば,妥協しよう,妥協して,妥協した,妥協しなかった,妥協される,妥協させる,妥協できる,妥協しろ
ダンスする,ダンスする,to dance,-,ダンスしない,ダンスします,ダンスする,ダンスすれば,ダンスしよう,ダンスして,ダンスした,ダンスしなかった,ダンスされる,ダンスさせる,ダンスできる,ダンスしろ
デビューする,デビューする,to make one's debut,-,デビューしない,デビューします,デビューする,デビューすれば,デビューしよう,デビューして,デビューした,デビューしなかった,デビューされる,デビューさせる,デビューできる,デビューしろ
電話する,でんわする,"to call, to phone",-,電話しない,電話します,電話する,電話すれば,電話しよう,電話して,電話した,電話しなかった,電話される,電話させる,電話できる,電話しろ
デートする,デートする,to date,-,デートしない,デートします,デートする,デートすれば,デートしよう,デートして,デートした,デートしなかった,デートされる,デートさせる,デートできる,デートしろ
ディスプレーする,ディスプレーする,to display,-,ディスプレーしない,ディスプレーします,ディスプレーする,ディスプレーすれば,ディスプレーしよう,ディスプレーして,ディスプレーした,ディスプレーしなかった,ディスプレーされる,ディスプレーさせる,ディスプレーできる,ディスプレーしろ
同意する,どういする,to agree,-,同意しない,同意します,同意する,同意すれば,同意しよう,同意して,同意した,同意しなかった,同意される,同意させる,同意できる,同意しろ
独立する,どくりつする,to become independent,-,独立しない,独立します,独立する,独立すれば,独立しよう,独立して,独立した,独立しなかった,独立される,独立させる,独立できる,独立しろ
努力する,どりょくする,to make efforts,-,努力しない,努力します,努力する,努力すれば,努力しよう,努力して,努力した,努力しなかった,努力される,努力させる,努力できる,努力しろ
営業する,えいぎょうする,to do business,-,営業しない,営業します,営業する,営業すれば,営業しよう,営業して,営業した,営業しなかった,営業される,営業させる,営業できる,営業しろ
援助する,えんじょする,"to aid, to assist",-,援助しない,援助します,援助する,援助すれば,援助しよう,援助して,援助した,援助しなかった,援助される,援助させる,援助できる,援助しろ
エンジョイする,エンジョイする,to enjoy,-,エンジョイしない,エンジョイします,エンジョイする,エンジョイすれば,エンジョイしよう,エンジョイして,エンジョイした,エンジョイしなかった,エンジョイされる,エンジョイさせる,エンジョイできる,エンジョイしろ
延期する,えんきする,to postpone,-,延期しない,延期します,延期する,延期すれば,延期しよう,延期して,延期した,延期しなかった,延期される,延期させる,延期できる,延期しろ
演説する,えんぜつする,to make a speech,-,演説しない,演説します,演説する,演説すれば,演説しよう,演説して,演説した,演説しなかった,演説される,演説させる,演説できる,演説しろ
エスケープする,エスケープする,to escape,-,エスケープしない,エスケープします,エスケープする,エスケープすれば,エスケープしよう,エスケープして,エスケープした,エスケープしなかった,エスケープされる,エスケープさせる,エスケープできる,エスケープしろ
復習する,ふくしゅうする,to review,-,復習しない,復習します,復習する,復習すれば,復習しよう,復習して,復習した,復習しなかった,復習される,復習させる,復習できる,復習しろ
普及する,ふきゅうする,"to spread, to be popular",-,普及しない,普及します,普及する,普及すれば,普及しよう,普及して,普及した,普及しなかった,普及される,普及させる,普及できる,普及しろ
不足する,ふそくする,to be short of,-,不足しない,不足します,不足する,不足すれば,不足しよう,不足して,不足した,不足しなかった,不足される,不足させる,不足できる,不足しろ
負担する,ふたんする,to bear (expenses),-,負担しない,負担します,負担する,負担すれば,負担しよう,負担して,負担した,負担しなかった,負担される,負担させる,負担できる,負担しろ
外食する,がいしょくする,to eat out,-,外食しない,外食します,外食する,外食すれば,外食しよう,外食して,外食した,外食しなかった,外食される,外食させる,外食できる,外食しろ
外出する,がいしゅつする,to go out,-,外出しない,外出します,外出する,外出すれば,外出しよう,外出して,外出した,外出しなかった,外出される,外出させる,外出できる,外出しろ
我慢する,がまんする,to be patient,-,我慢しない,我慢します,我慢する,我慢すれば,我慢しよう,我慢して,我慢した,我慢しなかった,我慢される,我慢させる,我慢できる,我慢しろ
減少する,げんしょする,to decrease,-,減少しない,減少します,減少する,減少すれば,減少しよう,減少して,減少した,減少しなかった,減少される,減少させる,減少できる,減少しろ
議論する,ぎろんする,"to argue, to debate",-,議論しない,議論します,議論する,議論すれば,議論しよう,議論して,議論した,議論しなかった,議論される,議論させる,議論できる,議論しろ
誤解する,ごかいする,to misunderstand,-,誤解しない,誤解します,誤解する,誤解すれば,誤解しよう,誤解して,誤解した,誤解しなかった,誤解される,誤解させる,誤解できる,誤解しろ
合格する,ごうかくする,to pass (an exam),-,合格しない,合格します,合格する,合格すれば,合格しよう,合格して,合格した,合格しなかった,合格される,合格させる,合格できる,合格しろ
合計する,ごうけいする,"to add up, to total",-,合計しない,合計します,合計する,合計すれば,合計しよう,合計して,合計した,合計しなかった,合計される,合計させる,合計できる,合計しろ
廃止する,はいしする,to abolish,-,廃止しない,廃止します,廃止する,廃止すれば,廃止しよう,廃止して,廃止した,廃止しなかった,廃止される,廃止させる,廃止できる,廃止しろ
配達する,はいたつする,to deliver,-,配達しない,配達します,配達する,配達すれば,配達しよう,配達して,配達した,配達しなかった,配達される,配達させる,配達できる,配達しろ
破壊する,はかいする,to destroy,-,破壊しない,破壊します,破壊する,破壊すれば,破壊しよう,破壊して,破壊した,破壊しなかった,破壊される,破壊させる,破壊できる,破壊しろ
発行する,はっこうする,to publish,-,発行しない,発行します,発行する,発行すれば,発行しよう,発行して,発行した,発行しなかった,発行される,発行させる,発行できる,発行しろ
拍手する,はくする,"to applaud, to clap",-,拍手しない,拍手します,拍手する,拍手すれば,拍手しよう,拍手して,拍手した,拍手しなかった,拍手される,拍手させる,拍手できる,拍手しろ
判断する,はんだんする,to judge,-,判断しない,判断します,判断する,判断すれば,判断しよう,判断して,判断した,判断しなかった,判断される,判断させる,判断できる,判断しろ
反応する,はんおうする,"to react, to respond",-,反応しない,反応します,反応する,反応すれば,反応しよう,反応して,反応した,反応しなかった,反応される,反応させる,反応できる,反応しろ
反射する,はんしゃする,to reflect,-,反射しない,反射します,反射する,反射すれば,反射しよう,反射して,反射した,反射しなかった,反射される,反射させる,反射できる,反射しろ
反対する,はんたいする,to oppose,-,反対しない,反対します,反対する,反対すれば,反対しよう,反対して,反対した,反対しなかった,反対される,反対させる,反対できる,反対しろ
発表する,はっぴょうする,to announce,-,発表しない,発表します,発表する,発表すれば,発表しよう,発表して,発表した,発表しなかった,発表される,発表させる,発表できる,発表しろ
破産する,はさんする,to go bankrupt,-,破産しない,破産します,破産する,破産すれば,破産しよう,破産して,破産した,破産しなかった,破産される,破産させる,破産できる,破産しろ
発送する,はっそうする,"to ship, to send out",-,発送しない,発送します,発送する,発送すれば,発送しよう,発送して,発送した,発送しなかった,発送される,発送させる,発送できる,発送しろ
発言する,はつげんする,to speak,-,発言しない,発言します,発言する,発言すれば,発言しよう,発言して,発言した,発言しなかった,発言される,発言させる,発言できる,発言しろ
発明する,はつめいする,to invent,-,発明しない,発明します,発明する,発明すれば,発明しよう,発明して,発明した,発明しなかった,発明される,発明させる,発明できる,発明しろ
発展する,はってんする,to develop,-,発展しない,発展します,発展する,発展すれば,発展しよう,発展して,発展した,発展しなかった,発展される,発展させる,発展できる,発展しろ
閉店する,へいてんする,to close a shop,-,閉店しない,閉店します,閉店する,閉店すれば,閉店しよう,閉店して,閉店した,閉店しなかった,閉店される,閉店させる,閉店できる,閉店しろ
返事する,へんじする,"to answer, to reply",-,返事しない,返事します,返事する,返事すれば,返事しよう,返事して,返事した,返事しなかった,返事される,返事させる,返事できる,返事しろ
変化する,へんかする,to change,-,変化しない,変化します,変化する,変化すれば,変化しよう,変化して,変化した,変化しなかった,変化される,変化させる,変化できる,変化しろ
変更する,へんこうする,"to alter, to change",-,変更しない,変更します,変更する,変更すれば,変更しよう,変更して,変更した,変更しなかった,変更される,変更させる,変更できる,変更しろ
